sp|O00567|NOP56_HUMAN	fd99b4a9c35d665683d35935614e234c	594	MobiDBLite	mobidb-lite	consensus disorder prediction	471	491	-	T	28-12-2023	-	-	-	-
sp|O00567|NOP56_HUMAN	fd99b4a9c35d665683d35935614e234c	594	Pfam	PF08156	NOP5NT (NUC127) domain	5	70	3.5E-15	T	28-12-2023	IPR012974	Nucleolar protein 58/56, N-terminal	-	Reactome:R-CEL-6791226|Reactome:R-DDI-4570464|Reactome:R-DDI-6791226|Reactome:R-HSA-390471|Reactome:R-HSA-4570464|Reactome:R-HSA-6790901|Reactome:R-HSA-6791226|Reactome:R-MMU-4570464|Reactome:R-MMU-6791226|Reactome:R-RNO-4570464|Reactome:R-RNO-6791226|Reactome:R-SCE-4570464|Reactome:R-SCE-6791226|Reactome:R-SPO-4570464|Reactome:R-SPO-6791226
sp|O00567|NOP56_HUMAN	fd99b4a9c35d665683d35935614e234c	594	Pfam	PF01798	snoRNA binding domain, fibrillarin	174	405	3.1E-83	T	28-12-2023	IPR002687	Nop domain	-	Reactome:R-CEL-6791226|Reactome:R-DDI-4570464|Reactome:R-DDI-6791226|Reactome:R-HSA-390471|Reactome:R-HSA-4570464|Reactome:R-HSA-6790901|Reactome:R-HSA-6791226|Reactome:R-HSA-72163|Reactome:R-MMU-4570464|Reactome:R-MMU-6791226|Reactome:R-MMU-72163|Reactome:R-RNO-4570464|Reactome:R-RNO-6791226|Reactome:R-SCE-4570464|Reactome:R-SCE-6791226|Reactome:R-SPO-4570464|Reactome:R-SPO-6791226
sp|O00567|NOP56_HUMAN	fd99b4a9c35d665683d35935614e234c	594	ProSiteProfiles	PS51358	Nop domain profile.	292	410	40.136024	T	28-12-2023	IPR002687	Nop domain	-	Reactome:R-CEL-6791226|Reactome:R-DDI-4570464|Reactome:R-DDI-6791226|Reactome:R-HSA-390471|Reactome:R-HSA-4570464|Reactome:R-HSA-6790901|Reactome:R-HSA-6791226|Reactome:R-HSA-72163|Reactome:R-MMU-4570464|Reactome:R-MMU-6791226|Reactome:R-MMU-72163|Reactome:R-RNO-4570464|Reactome:R-RNO-6791226|Reactome:R-SCE-4570464|Reactome:R-SCE-6791226|Reactome:R-SPO-4570464|Reactome:R-SPO-6791226
sp|O00567|NOP56_HUMAN	fd99b4a9c35d665683d35935614e234c	594	MobiDBLite	mobidb-lite	consensus disorder prediction	458	594	-	T	28-12-2023	-	-	-	-
sp|O00567|NOP56_HUMAN	fd99b4a9c35d665683d35935614e234c	594	MobiDBLite	mobidb-lite	consensus disorder prediction	502	521	-	T	28-12-2023	-	-	-	-
sp|O00567|NOP56_HUMAN	fd99b4a9c35d665683d35935614e234c	594	MobiDBLite	mobidb-lite	consensus disorder prediction	528	568	-	T	28-12-2023	-	-	-	-
sp|Q9H583|HEAT1_HUMAN	5de121fb4ad24c46dec4b9c9bf8b80a0	2144	Pfam	PF08146	BP28CT (NUC211) domain	1860	2011	1.4E-34	T	28-12-2023	IPR012954	BP28, C-terminal domain	-	Reactome:R-CEL-6791226|Reactome:R-DDI-6791226|Reactome:R-DME-6791226|Reactome:R-DRE-6791226|Reactome:R-HSA-6790901|Reactome:R-HSA-6791226|Reactome:R-SCE-6791226|Reactome:R-SPO-6791226
sp|Q9H583|HEAT1_HUMAN	5de121fb4ad24c46dec4b9c9bf8b80a0	2144	MobiDBLite	mobidb-lite	consensus disorder prediction	1170	1191	-	T	28-12-2023	-	-	-	-
sp|Q9H583|HEAT1_HUMAN	5de121fb4ad24c46dec4b9c9bf8b80a0	2144	Pfam	PF12397	U3 small nucleolar RNA-associated protein 10	238	354	1.5E-22	T	28-12-2023	IPR022125	U3 small nucleolar RNA-associated protein 10, N-terminal	-	Reactome:R-CEL-6791226|Reactome:R-DDI-6791226|Reactome:R-DME-6791226|Reactome:R-DRE-6791226|Reactome:R-HSA-6790901|Reactome:R-HSA-6791226|Reactome:R-SCE-6791226|Reactome:R-SPO-6791226
sp|Q15061|WDR43_HUMAN	8705acb480f663cd56dd2412033aa263	677	MobiDBLite	mobidb-lite	consensus disorder prediction	428	445	-	T	28-12-2023	-	-	-	-
sp|Q15061|WDR43_HUMAN	8705acb480f663cd56dd2412033aa263	677	MobiDBLite	mobidb-lite	consensus disorder prediction	602	649	-	T	28-12-2023	-	-	-	-
sp|Q15061|WDR43_HUMAN	8705acb480f663cd56dd2412033aa263	677	MobiDBLite	mobidb-lite	consensus disorder prediction	582	677	-	T	28-12-2023	-	-	-	-
sp|Q15061|WDR43_HUMAN	8705acb480f663cd56dd2412033aa263	677	MobiDBLite	mobidb-lite	consensus disorder prediction	650	667	-	T	28-12-2023	-	-	-	-
